,user,text,cleaned_text,Sentiment_Polarity,Expression Label
13,vitrolast,President Trump says he stopped taking medication for coronavirus https://t.co/Y2543Efuv1 #covid19 #donaldtrump,president trump say stopped taking medication coronavirus httpstcoyefuv covid donaldtrump,0.0,Neutral
14,reinhardX,"@joncoopertweets well. #conley is a #chiropractor, how should he know - and #donaldtrump is a lying sociopath, he won't tell",joncoopertweets well conley chiropractor know donaldtrump lying sociopath wont tell,0.0,Neutral
15,sirzachariasss,RT @drboycewatkins1: #Biden supporters are saying that all 50 million #Trump supporters are going to kill #blackpeople.  #DonaldTrump suppo…,rt drboycewatkins biden supporter saying million trump supporter going kill blackpeople donaldtrump suppo ,0.0,Neutral
16,mwernst5,RT @tribelaw: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/5taLcwF72r,rt tribelaw realdonaldtrump preschool lego comedy impression lego donaldtrump nbcsnl httpstcotalcwfr,0.0,Neutral
17,MarkTheShaw,RT @tribelaw: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/5taLcwF72r,rt tribelaw realdonaldtrump preschool lego comedy impression lego donaldtrump nbcsnl httpstcotalcwfr,0.0,Neutral
18,paulagregory39,RT @tribelaw: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/5taLcwF72r,rt tribelaw realdonaldtrump preschool lego comedy impression lego donaldtrump nbcsnl httpstcotalcwfr,0.0,Neutral
19,SleeplessCanuk,If there was ever a better reason to vote for #DonaldTrump https://t.co/nFNalvNoTJ,ever better reason vote donaldtrump httpstconfnalvnotj,0.5,positive
20,MarkTheShaw,RT @TheReal_NRP: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/jbz32O6xYH,rt therealnrp realdonaldtrump preschool lego comedy impression lego donaldtrump nbcsnl httpstcojbzoxyh,0.0,Neutral
21,MarilynPearcy,RT @tribelaw: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/5taLcwF72r,rt tribelaw realdonaldtrump preschool lego comedy impression lego donaldtrump nbcsnl httpstcotalcwfr,0.0,Neutral
22,UchennaEjiofor3,TO BRING LIGHT BACK TO AFRICAN. FOR JUSTICE TO REIGN.  #EndNigeriaNow #BRIAFRAEXIT #DonaldTrump  #EU  #BorisJohnson… https://t.co/QO1Ppgo8ZF,bring light back african justice reign endnigerianow briafraexit donaldtrump eu borisjohnson httpstcoqoppgozf,0.13333333333333333,positive
23,quadribawala,@realFFK @realDonaldTrump Why is that you always involve God in Donaldtrump politics and on the other ends eliminat… https://t.co/EG4pmw1Kc2,realffk realdonaldtrump always involve god donaldtrump politics end eliminat httpstcoegpmwkc,0.0,Neutral
24,KaulSunil,The latest The Sunil Kaul Daily! https://t.co/p99eXuUMCt #covid19 #donaldtrump,latest sunil kaul daily httpstcopexuumct covid donaldtrump,0.25,positive
25,Lynchs1706,RT @derekjames150: #DonaldTrump has now been given the all clear by his doctor who no longer considers him contagious. This must be the sho…,rt derekjames donaldtrump given clear doctor longer considers contagious must sho ,0.10000000000000002,positive
26,drboycewatkins1,#Biden supporters are saying that all 50 million #Trump supporters are going to kill #blackpeople.  #DonaldTrump su… https://t.co/S4Y6NYHaLp,biden supporter saying million trump supporter going kill blackpeople donaldtrump su httpstcosynyhalp,0.0,Neutral
27,blueplanetwatch,"NYT reports #DonaldTrump wanted to dress up as Superman on his triumphant,  staged discharge from Walter Reed.… https://t.co/taawM2BnIQ",nyt report donaldtrump wanted dress superman triumphant staged discharge walter reed httpstcotaawmbniq,0.0,Neutral
28,quarterris,Right Now The @TheDemocrats @SenateGOP #DonaldTrump is all PLAYING WITH AMERICANS LIVES AND SUSTAINABILITY,right thedemocrats senategop donaldtrump playing american life sustainability,0.14285714285714285,positive
29,mvankadara,"“You have good genes, you know that, right?”“You have good genes. A lot of it is about the genes, isn’t it? Don’t y… https://t.co/oluBYRRUVi", good gene know right good gene lot gene httpstcoolubyrruvi,0.5619047619047618,positive
30,MonicaRettig1,RT @TheReal_NRP: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/jbz32O6xYH,rt therealnrp realdonaldtrump preschool lego comedy impression lego donaldtrump nbcsnl httpstcojbzoxyh,0.0,Neutral
31,StephenSipila,#SundayThoughts #SundayMorning #SundayWisdom Even if #DonaldTrump is not contagious &amp; transmitting  #coronavirus he… https://t.co/mAecM1ajiL,sundaythoughts sundaymorning sundaywisdom even donaldtrump contagious amp transmitting coronavirus httpstcomaecmajil,0.0,Neutral
32,MarianneSchro11,"RT @derekjames150: I would really, really, really, really, really, really like to see #DonaldTrump totally crushed in this November electio…",rt derekjames would really really really really really really like see donaldtrump totally crushed november electio ,0.05,positive
33,RAOCES,"RT @rochelleriley: Stop using the term #FakeNews. If it's fake, it's not news. This is #DonaldTrump's effort to make America more like Russ…",rt rochelleriley stop using term fakenews fake news donaldtrumps effort make america like rus ,-0.5,negative
34,willibobs71,It's getting to the point now with Trump that you check up on North Korea and Kim Jong Un for some kind of normalit… https://t.co/cK21fkero4,getting point trump check north korea kim jong un kind normalit httpstcockfkero,0.6,positive
35,msproducer89,"RT @rochelleriley: Stop using the term #FakeNews. If it's fake, it's not news. This is #DonaldTrump's effort to make America more like Russ…",rt rochelleriley stop using term fakenews fake news donaldtrumps effort make america like rus ,-0.5,negative
36,tun_kayo,RT @heavyed65: Life Under a Illegal #Israeli #Occupation  At leat 11 #Palestinians were injured during the clashes that broke out with #Isr…,rt heavyed life illegal israeli occupation leat palestinian injured clash broke isr ,-0.5,negative
37,steve20594431,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
38,realcdoll,RT @TheReal_NRP: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/jbz32O6xYH,rt therealnrp realdonaldtrump preschool lego comedy impression lego donaldtrump nbcsnl httpstcojbzoxyh,0.0,Neutral
39,rochelleriley,"Stop using the term #FakeNews. If it's fake, it's not news. This is #DonaldTrump's effort to make America more like… https://t.co/7JOne3goIv",stop using term fakenews fake news donaldtrumps effort make america like httpstcojonegoiv,-0.5,negative
40,arthurm40159518,"RT @derekjames150: Correct me if I'm wrong, but it seems to me #DonaldTrump is becoming a greater threat to the US than Osama Bin Laden was!",rt derekjames correct im wrong seems donaldtrump becoming greater threat u osama bin laden,0.15,positive
41,axsharif_s,#KimJongUn is now following Teddy Roosevelt’s advice: “speak softly and carry a big stick.”  No longer the bravado… https://t.co/vm70ANpHPK,kimjongun following teddy roosevelt advice speak softly carry big stick longer bravado httpstcovmanphpk,-0.025,negative
42,RevLeslye,Tatyana Ali joins us this Friday to talk Get’n Vote Ready in this presidential election. Join us!… https://t.co/qR5erzdjXN,tatyana ali join u friday talk get n vote ready presidential election join u httpstcoqrerzdjxn,0.2,positive
43,marcvdhoogen,RT @Eric_Ericeira: The midget rather spends time bashing #DonaldTrump than cutting all-time high crime in The City.  Now he's turning Londo…,rt ericericeira midget rather spends time bashing donaldtrump cutting alltime high crime city he turning londo ,-0.21999999999999997,negative
44,EDITORatWORK,#politics Links to TRUMP AND POLITICS #DonaldTrump #RepublicanParty #Republicans #Trumpapprovalratings https://t.co/1wshPi0SEF,politics link trump politics donaldtrump republicanparty republican trumpapprovalratings httpstcowshpisef,0.0,Neutral
45,LeftistSlayer,I think @brithume just left the #FoxNewsSunday power panel in stunned amazement. How? By telling the TRUTH!… https://t.co/H08iEP7HEt,think brithume left foxnewssunday power panel stunned amazement telling truth httpstcohiephet,0.0,Neutral
46,RedneckDutch,RT @Eric_Ericeira: The midget rather spends time bashing #DonaldTrump than cutting all-time high crime in The City.  Now he's turning Londo…,rt ericericeira midget rather spends time bashing donaldtrump cutting alltime high crime city he turning londo ,-0.21999999999999997,negative
47,hannaway23,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
48,Greco611,RT @drboycewatkins1: How the #DemocraticParty put #DonaldTrump in office - Dr Boyce Watkins https://t.co/CiqU4zcf5u,rt drboycewatkins democraticparty put donaldtrump office dr boyce watkins httpstcociquzcfu,0.0,Neutral
49,lovingeurop,@realDonaldTrump Mr Watters are you campaigning for #DonaldTrump? Are you of the mainstream media #Trump hates so m… https://t.co/ch0gabDeMh,realdonaldtrump mr watters campaigning donaldtrump mainstream medium trump hate httpstcochgabdemh,-0.8,negative
50,piyakhanna,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
51,blueplanetwatch,"Any disease with a 5% risk of death, if you have preexisting conditions, is nothing to trivialize. #COVID19 ""does n… https://t.co/qhcRq6m2os",disease risk death preexisting condition nothing trivialize covid n httpstcoqhcrqmos,0.0,Neutral
52,DarrinBradley,RT @drboycewatkins1: How the #DemocraticParty put #DonaldTrump in office - Dr Boyce Watkins https://t.co/CiqU4zcf5u,rt drboycewatkins democraticparty put donaldtrump office dr boyce watkins httpstcociquzcfu,0.0,Neutral
53,MarkElzey,RT @drboycewatkins1: How the #DemocraticParty put #DonaldTrump in office - Dr Boyce Watkins https://t.co/CiqU4zcf5u,rt drboycewatkins democraticparty put donaldtrump office dr boyce watkins httpstcociquzcfu,0.0,Neutral
54,youngnenzel,RT @drboycewatkins1: How the #DemocraticParty put #DonaldTrump in office - Dr Boyce Watkins https://t.co/CiqU4zcf5u,rt drboycewatkins democraticparty put donaldtrump office dr boyce watkins httpstcociquzcfu,0.0,Neutral
55,JoR3LofKrypton,@thehill .. with @realDonaldTrump 's RATINGS in double-digit deficit against 🇺🇸 #BidenHarris2020 🇺🇸 It's Common Kno… https://t.co/uu9QGG4gkG,thehill realdonaldtrump rating doubledigit deficit bidenharris common kno httpstcouuqgggkg,-0.3,negative
56,BillRenshaw4,@DemonHunters2 I've always had the feeling that #Trump is leading #Pence into #Office... #DonaldTrump will just 'DI… https://t.co/SiVNE2TAtr,demonhunters ive always feeling trump leading penny office donaldtrump di httpstcosivnetatr,0.0,Neutral
57,drboycewatkins1,How the #DemocraticParty put #DonaldTrump in office - Dr Boyce Watkins https://t.co/CiqU4zcf5u,democraticparty put donaldtrump office dr boyce watkins httpstcociquzcfu,0.0,Neutral
58,QWend_UK1,"RT @derekjames150: Does anybody think #DonaldTrump was struggling to breathe when he left the hospital yesterday evening? Because, if he wa…",rt derekjames anybody think donaldtrump struggling breathe left hospital yesterday evening wa ,0.0,Neutral
59,SpanishDan1,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
60,JoR3LofKrypton,"@CNNPolitics .. yes, kicking #maga #kag #CaptainCovid aka #CaptainContagious aka #DonaldTrump 'outta federal employ… https://t.co/0GtpzjdCT1",cnnpolitics yes kicking maga kag captaincovid aka captaincontagious aka donaldtrump outta federal employ httpstcogtpzjdct,0.0,Neutral
61,ShookUpWorld,RT @Harryslaststand: #DonaldTrump may no longer be contagious for #COVID__19 but he is still a super spreader for fascism and should be enc…,rt harryslaststand donaldtrump may longer contagious covid still super spreader fascism enc ,0.3333333333333333,positive
62,JamesAn26254230,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
63,reinhardX,@ThisWeekABC @jonkarl well the idiot #sociopath #donaldtrump lost his father's fortune to begin with,thisweekabc jonkarl well idiot sociopath donaldtrump lost father fortune begin,-0.8,negative
64,soumitraroy,"RT @ians_india: Die-hard #DonaldTrump (@realDonaldTrump) fan Bussa Krishna, who used to worship him like a god, died of cardiac arrest on S…",rt iansindia diehard donaldtrump realdonaldtrump fan bussa krishna used worship like god died cardiac arrest ,-0.05,negative
65,JacksPersaud,If #DonaldTrump had captained the Titanic.... https://t.co/gmUZjy4Z5e,donaldtrump captained titanic httpstcogmuzjyze,0.0,Neutral
66,EntoProf,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
67,kathleencd631,RT @MarkBighat: @TeaPainUSA @malinablue @realDonaldTrump #DonaldTrump since you have a reading disability ask #Ivanka to read the above n b…,rt markbighat teapainusa malinablue realdonaldtrump donaldtrump since reading disability ask ivanka read n b ,0.0,Neutral
68,jfranklynh,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
69,ModernWorldCen,#astrology #fight #fighters Knowledge is power site:Why is #WikiLeaks aiding #DonaldTrump https://t.co/fOKpBX2Hk3 https://t.co/9Jd1r8lZN0,astrology fight fighter knowledge power sitewhy wikileaks aiding donaldtrump httpstcofokpbxhk httpstcojdrlzn,0.0,Neutral
70,oldstinkyone,RT @derekjames150: #DonaldTrump has now been given the all clear by his doctor who no longer considers him contagious. This must be the sho…,rt derekjames donaldtrump given clear doctor longer considers contagious must sho ,0.10000000000000002,positive
71,xbomb13,"RT @ALSixers506: #CORONAKILLERtrump 213,000+ Deaths be #DonaldTrump #LYINGtrump #WhiteHouseInfestation #WhiteNationalistDONALD #COVIDtrumpC…",rt alsixers coronakillertrump death donaldtrump lyingtrump whitehouseinfestation whitenationalistdonald covidtrumpc ,0.0,Neutral
72,encelzz,White House Doctor: Trump is no longer at risk of transmitting Covid-19 &amp; is allowed to be active - White House Doc… https://t.co/bPCd0wC3Gh,white house doctor trump longer risk transmitting covid amp allowed active white house doc httpstcobpcdwcgh,-0.044444444444444446,negative
73,encelzz,White House Doctor: Trump is no longer at risk of transmitting Covid-19 &amp; is allowed to be active  #corona… https://t.co/eAW5ZpqLha,white house doctor trump longer risk transmitting covid amp allowed active corona httpstcoeawzpqlha,-0.06666666666666667,negative
74,donaldtrump_JJ,@Dallkonge Hi my name id donald.j.trump who 45th President of the United States🇺🇸,dallkonge hi name id donaldjtrump th president united state ,0.0,Neutral
75,Fan20Bama,RT @waltermasterson: Please RT and share my interview with a PROUD BOY. #donaldtrump #ProudBoys #BidenHarris2020 #BidenCares https://t.co/s…,rt waltermasterson please rt share interview proud boy donaldtrump proudboys bidenharris bidencares httpstcos ,0.8,positive
76,JoanWhite3,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
77,Chepa52,"@ThisWeekABC #DonaldTrump has run out of #liars, now he has his son representing lying for him, and acts like his d… https://t.co/QpKsHEGFwr",thisweekabc donaldtrump run liar son representing lying act like httpstcoqpkshegfwr,0.0,Neutral
78,donaldtrump_JJ,@theboyz980115 Hellow,theboyz hellow,0.0,Neutral
79,markevanst,RT @TheReal_NRP: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/jbz32O6xYH,rt therealnrp realdonaldtrump preschool lego comedy impression lego donaldtrump nbcsnl httpstcojbzoxyh,0.0,Neutral
80,donaldtrump_JJ,@wnffoq Hi my name id donald.j.trump who 45th President of the United States🇺🇸,wnffoq hi name id donaldjtrump th president united state ,0.0,Neutral
81,tag4good,RT @heavyed65: #Israeli #occupation forces arrested 3 #Palestinians including a woman after raiding Al Amari refugee camp in #Ramallah. #St…,rt heavyed israeli occupation force arrested palestinian including woman raiding al amari refugee camp ramallah st ,0.0,Neutral
82,XposeBlackCrime,Fact Check: #Harris #Lies to the #AmericanPeople During #Debate by Repeating 'Very Fine People' Hoax:… https://t.co/SXP8SEFhGA,fact check harris lie americanpeople debate repeating fine people hoax httpstcosxpsefhga,0.4166666666666667,positive
83,MarkoKepi,"New York City Republicans President Marko Kepi, a U.S Marine who recently received a medal from @realDonaldTrump, s… https://t.co/e5CKARhlXC",new york city republican president marko kepi u marine recently received medal realdonaldtrump httpstcoeckarhlxc,0.06818181818181818,positive
84,jennyrose5,RT @derekjames150: #DonaldTrump has now been given the all clear by his doctor who no longer considers him contagious. This must be the sho…,rt derekjames donaldtrump given clear doctor longer considers contagious must sho ,0.10000000000000002,positive
85,GillianGn,RT @Harryslaststand: #DonaldTrump may no longer be contagious for #COVID__19 but he is still a super spreader for fascism and should be enc…,rt harryslaststand donaldtrump may longer contagious covid still super spreader fascism enc ,0.3333333333333333,positive
86,DassSidhu,RT @SatlokChannel: American President #DonaldTrump and the first lady Melania Trump tested #COVID19 positive. @SaintRampalJiM says that eve…,rt satlokchannel american president donaldtrump first lady melania trump tested covid positive saintrampaljim say eve ,0.1590909090909091,positive
87,Texttexas,RT @waltermasterson: Please RT and share my interview with a PROUD BOY. #donaldtrump #ProudBoys #BidenHarris2020 #BidenCares https://t.co/s…,rt waltermasterson please rt share interview proud boy donaldtrump proudboys bidenharris bidencares httpstcos ,0.8,positive
88,Hughesy1964,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
89,RealLifeOnline1,#JoeBiden do not have covid-19 virus running through his administration #DonaldTrump have #COVIDー19 virus infecting… https://t.co/ej48NfNgWb,joebiden covid virus running administration donaldtrump covidー virus infecting httpstcoejnfngwb,0.0,Neutral
90,JustWhatNowWhy,"RT @vapermom: #DonaldTrump only surrounds himself with criminals &amp; corrupted souls. How many of his people have to be caught, indicted, &amp; j…",rt vapermom donaldtrump surround criminal amp corrupted soul many people caught indicted amp j ,0.04999999999999999,positive
91,BlueChair0,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
92,Rosec1961,RT @tribelaw: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/5taLcwF72r,rt tribelaw realdonaldtrump preschool lego comedy impression lego donaldtrump nbcsnl httpstcotalcwfr,0.0,Neutral
93,DJTMentionsBot,RT @ians_india: His family members said he was worried after coming to know that #DonaldTrump (@realDonaldTrump) was infected by #COVID19.…,rt iansindia family member said worried coming know donaldtrump realdonaldtrump infected covid ,0.0,Neutral
94,ians_india,His family members said he was worried after coming to know that #DonaldTrump (@realDonaldTrump) was infected by… https://t.co/IhcI8dXORa,family member said worried coming know donaldtrump realdonaldtrump infected httpstcoihcidxora,0.0,Neutral
95,Rosec1961,RT @TheReal_NRP: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/jbz32O6xYH,rt therealnrp realdonaldtrump preschool lego comedy impression lego donaldtrump nbcsnl httpstcojbzoxyh,0.0,Neutral
96,MartinJ95273316,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
97,Spark333,RT @TheReal_NRP: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/jbz32O6xYH,rt therealnrp realdonaldtrump preschool lego comedy impression lego donaldtrump nbcsnl httpstcojbzoxyh,0.0,Neutral
98,MarkBighat,@TeaPainUSA @malinablue @realDonaldTrump #DonaldTrump since you have a reading disability ask #Ivanka to read the a… https://t.co/V7IrsbwymX,teapainusa malinablue realdonaldtrump donaldtrump since reading disability ask ivanka read httpstcovirsbwymx,0.0,Neutral
99,CNKDSSRS4,RT @BennettCartoons: 10/11/2020- The Bookmark #TheTrumpEra #Trump #DonaldTrump #PresidentTrump #The45thPresident #LastChapter #TheEnd #TheW…,rt bennettcartoons bookmark thetrumpera trump donaldtrump presidenttrump thethpresident lastchapter theend thew ,0.0,Neutral
100,Donald_Trump_Q,“All of the women on The Apprentice flirted with me – consciously or unconsciously. That’s to be expected.” -Donald… https://t.co/hqtPymgKtg, woman apprentice flirted consciously unconsciously expected donald httpstcohqtpymgktg,0.0,Neutral
101,ians_india,"Die-hard #DonaldTrump (@realDonaldTrump) fan Bussa Krishna, who used to worship him like a god, died of cardiac arr… https://t.co/3iRREQ3ORS",diehard donaldtrump realdonaldtrump fan bussa krishna used worship like god died cardiac arr httpstcoirreqors,-0.05,negative
102,JoR3LofKrypton,@RawStory .. It's Common Knowledge™ #BabyGate #BunkerBoy- n-bitch #maga #kag #covFeFe-19 #CaptainContagious… https://t.co/wLKGtqt7Pz,rawstory common knowledge babygate bunkerboy nbitch maga kag covfefe captaincontagious httpstcowlkgtqtpz,-0.3,negative
103,angiestephens,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
104,Caroleshoulder1,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
105,Xilinx780,RT @Harryslaststand: #DonaldTrump may no longer be contagious for #COVID__19 but he is still a super spreader for fascism and should be enc…,rt harryslaststand donaldtrump may longer contagious covid still super spreader fascism enc ,0.3333333333333333,positive
106,Rockin4America,Fake-Poll Alert: Proof Biden Is Not Winning | Wayne Allyn Root https://t.co/oZud86EFJq ~ #DonaldTrump #VoteRedToSaveAmerica #JoeBiden,fakepoll alert proof biden winning wayne allyn root httpstcoozudefjq donaldtrump voteredtosaveamerica joebiden,0.5,positive
107,happy81050,RT @Paula_White: Join us Sunday Oct 11th 5p.m. ET at https://t.co/PbMg3kLmKb as we pray for our nation and our president @realDonaldTrump!…,rt paulawhite join u sunday oct th pm et httpstcopbmgklmkb pray nation president realdonaldtrump ,0.0,Neutral
108,lksgarwood,RT @TheReal_NRP: BREAKING 🚨 @realDonaldTrump is looking in the forests for the cure #coronavirus #DonaldTrump #impressions #comedy @nbcsnl…,rt therealnrp breaking realdonaldtrump looking forest cure coronavirus donaldtrump impression comedy nbcsnl ,0.0,Neutral
109,wavedeva,The Swamp That #Trump Built https://t.co/CjFjTTPkHL #PresidentTrump #DonaldJTrump #DonaldTrump #DonTheCon… https://t.co/Gyt7ZbHx5x,swamp trump built httpstcocjfjttpkhl presidenttrump donaldjtrump donaldtrump donthecon httpstcogytzbhxx,0.0,Neutral
110,Solly013,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
111,blueoysterdvp,#Trump said there was a flair up of #covid19 in #Canada but failed to mention #Wisconsin’s numbers getting out of c… https://t.co/NNmuvCD2Ru,trump said flair covid canada failed mention wisconsin number getting c httpstconnmuvcdru,-0.5,negative
112,ivovynckier,The law of diminishing returns. Churn. #whitehouserally #trumprally #Trump #donald #DonaldTrump #DonaldJTrump… https://t.co/CTi4vbQIjP,law diminishing return churn whitehouserally trumprally trump donald donaldtrump donaldjtrump httpstcoctivbqijp,0.0,Neutral
113,alanbarnes20,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
114,DiabeticCyborgg,Sticks and Roger Stones by @TrumPooning https://t.co/FtosGIKNAn #Poetry #ResistancePoetry #Politics #DonaldTrump #SCOTUS #Trump,stick roger stone trumpooning httpstcoftosgiknan poetry resistancepoetry politics donaldtrump scotus trump,0.0,Neutral
115,LadyOverturf,"It was a “beautiful” event at the White House. Boy, the apple doesn’t fall far from the tree! #EricTrump #DonaldTrump #theTrumpsters",beautiful event white house boy apple fall far tree erictrump donaldtrump thetrumpsters,0.31666666666666665,positive
116,vapermom,"#DonaldTrump only surrounds himself with criminals &amp; corrupted souls. How many of his people have to be caught, ind… https://t.co/icZeG9dIHm",donaldtrump surround criminal amp corrupted soul many people caught ind httpstcoiczegdihm,0.04999999999999999,positive
117,katybeeee,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
